method,route,module,action,roles,line,gate
GET,/health,health,read,"",1251,none
GET,/public/invoices/:id,public,read,"",1266,none
GET,/public/deliveries/:id,public,read,"",1298,none
GET,/deliveries/:id/pdf,sales,read,"Accountant Admin Employee Manager",1332,access
GET,/invoices/:id/pdf,invoices,read,"Accountant Admin Employee Manager",1364,access
GET,/vendor-bills/:id/document,vendor-bills,read,"Accountant Admin Manager",1476,roles
GET,/public/vendor-bills/:id,public,read,"",1488,none
PATCH,/vendor-bills/:id/template,vendor-bills,write,"Accountant Admin Manager",1501,roles
GET,/vendor-bills/:id/pdf,vendor-bills,read,"Accountant Admin Manager",1518,roles
POST,/auth/login,auth,create,"",1549,none
POST,/auth/logout,auth,create,"",1573,none
GET,/auth/me,auth,read,"",1582,none
PUT,/auth/me,auth,write,"",1590,none
GET,/notifications,notifications,read,"",1606,none
GET,/notifications/unread-count,notifications,read,"",1616,none
POST,/notifications/read-all,notifications,create,"",1624,none
POST,/notifications/:id/read,notifications,create,"",1632,none
GET,/notifications/preferences,notifications,read,"",1641,none
PUT,/notifications/preferences,notifications,write,"",1649,none
GET,/admin/overview,admin,read,"",1672,none
GET,/admin/companies,admin,read,"",1677,none
GET,/admin/users,admin,read,"",1682,none
GET,/admin/activity,admin,read,"",1687,none
GET,/admin/health,admin,read,"",1706,none
POST,/admin/tools/sweep-overdue-all,admin,create,"",1712,none
POST,/admin/tools/recompute-commissions-all,admin,create,"",1717,none
POST,/admin/tools/refresh-invoice-statuses,admin,create,"",1722,none
GET,/admin/tools/backup,admin,read,"",1727,none
POST,/admin/impersonate/:userId,admin,create,"",1740,none
GET,/companies,settings,read,"",1757,none
GET,/companies/:id,settings,read,"Accountant Admin Employee Manager",1770,access
POST,/companies,settings,create,"",1781,none
PUT,/companies/:id,settings,write,"Admin Manager",1797,roles
DELETE,/companies/:id,settings,delete,"",1826,none
GET,/companies/:companyId/numbering-settings,settings,read,"Admin Manager",1837,roles
PUT,/companies/:companyId/numbering-settings/:entityType,settings,write,"Admin Manager",1846,roles
GET,/companies/:companyId/finance/settings,finance,read,"Accountant Admin Employee Manager",1870,access
PUT,/companies/:companyId/finance/settings,finance,write,"Admin Manager",1882,roles
GET,/companies/:companyId/custom-fields,settings,read,"Accountant Admin Employee Manager",1925,roles
POST,/companies/:companyId/custom-fields,settings,create,"Admin Manager",1938,roles
PUT,/custom-fields/:id,settings,write,"Admin Manager",1962,roles
DELETE,/custom-fields/:id,settings,delete,"Admin Manager",1986,roles
GET,/companies/:companyId/document-templates,documents,read,"Accountant Admin Manager",2015,roles
POST,/companies/:companyId/document-templates,documents,create,"Accountant Admin Manager",2019,roles
GET,/document-templates/:id,documents,read,"Accountant Admin Manager",2037,roles
PUT,/document-templates/:id,documents,write,"Accountant Admin Manager",2038,roles
DELETE,/document-templates/:id,documents,delete,"Accountant Admin Manager",2055,roles
GET,/companies/:companyId/documents,documents,read,"Accountant Admin Manager",2067,roles
POST,/companies/:companyId/documents,documents,create,"Accountant Admin Manager",2071,roles
GET,/documents/:id,documents,read,"Accountant Admin Manager",2091,roles
PUT,/documents/:id,documents,write,"Accountant Admin Manager",2092,roles
DELETE,/documents/:id,documents,delete,"Accountant Admin Manager",2102,roles
GET,/public/documents/:id,public,read,"",2146,none
GET,/documents/:id/pdf,documents,read,"Accountant Admin Manager",2180,roles
GET,/companies/:companyId/invoice-templates,invoices,read,"Accountant Admin Manager",2206,roles
POST,/companies/:companyId/invoice-templates,invoices,create,"Accountant Admin Manager",2220,roles
PUT,/invoice-templates/:id,invoices,write,"Accountant Admin Manager",2266,roles
DELETE,/invoice-templates/:id,invoices,delete,"Accountant Admin Manager",2284,roles
GET,/positions,positions,read,"",2300,none
GET,/positions/:id,positions,read,"",2309,none
POST,/positions,positions,create,"",2320,none
DELETE,/positions/:id,positions,delete,"",2334,none
GET,/users,settings,read,"",2344,none
GET,/users/:id,settings,read,"",2353,none
GET,/companies/:companyId/users,settings,read,"Admin Manager",2366,roles
GET,/companies/:companyId/members,settings,read,"Accountant Admin Employee Manager",2378,access
POST,/users,settings,create,"",2393,none
PUT,/users/:id,settings,write,"",2429,none
DELETE,/users/:id,settings,delete,"",2513,none
GET,/projects,projects,read,"",2532,none
GET,/projects/:id,projects,read,"",2548,none
POST,/projects,projects,create,"Admin Manager",2559,roles
PUT,/projects/:id,projects,write,"Admin Manager",2582,roles
DELETE,/projects/:id,projects,delete,"Admin Manager",2604,roles
POST,/projects/:id/members,projects,create,"Admin Manager",2616,roles
DELETE,/projects/:id/members/:userId,projects,delete,"Admin Manager",2632,roles
GET,/tasks,tasks,read,"",2646,none
GET,/tasks/:id,tasks,read,"",2660,none
GET,/companies/:companyId/clients/:clientId/tasks,contacts,read,"Accountant Admin Employee Manager",2671,access
POST,/tasks,tasks,create,"Accountant Admin Employee Manager",2687,access
PUT,/tasks/:id,tasks,write,"Accountant Admin Employee Manager",2728,access
POST,/tasks/mark-invoiced,tasks,invoice,"",2767,none
GET,/tasks/:taskId/comments,tasks,read,"",2794,none
POST,/tasks/:taskId/comments,tasks,create,"",2805,none
GET,/tasks/:taskId/time-entries,tasks,read,"",2824,none
POST,/tasks/:taskId/time-entries,tasks,create,"",2835,none
DELETE,/time-entries/:id,time-entries,delete,"",2861,none
GET,/companies/:companyId/contacts,contacts,read,"Accountant Admin Employee Manager",2879,roles
GET,/companies/:companyId/contacts/export,contacts,read,"Accountant Admin Employee Manager",2892,roles
POST,/companies/:companyId/contacts/import,contacts,create,"Accountant Admin Manager",2911,roles
GET,/companies/:companyId/influencers/export,contacts,read,"Accountant Admin Employee Manager",2949,roles
POST,/companies/:companyId/influencers/import,contacts,create,"Accountant Admin Manager",2982,roles
POST,/companies/:companyId/contacts,contacts,create,"Accountant Admin Employee Manager",3026,roles
GET,/contacts/:id,contacts,read,"Accountant Admin Manager",3076,roles
PUT,/contacts/:id,contacts,write,"Accountant Admin Manager",3087,roles
POST,/contacts/:id/roles,contacts,create,"Accountant Admin Manager",3130,roles
GET,/contacts/:id/summary,contacts,read,"Accountant Admin Employee Manager",3148,roles
DELETE,/contacts/:id/roles/:role,contacts,delete,"Accountant Admin Manager",3242,roles
DELETE,/contacts/:id,contacts,delete,"Accountant Admin Manager",3254,roles
POST,/contacts/:id/activities,contacts,create,"Accountant Admin Manager",3268,roles
GET,/contacts/:id/activities,contacts,read,"Accountant Admin Manager",3294,roles
PATCH,/contacts/:id,contacts,write,"Accountant Admin Employee Manager",3307,roles
POST,/followups/:id/done,crm,create,"Accountant Admin Employee Manager",3343,roles
POST,/followups/:id/reschedule,crm,create,"Accountant Admin Employee Manager",3376,roles
POST,/companies/:companyId/followups,crm,create,"Accountant Admin Employee Manager",3419,roles
PATCH,/followups/:id,crm,write,"Accountant Admin Employee Manager",3455,roles
POST,/followups/:id/snooze,crm,create,"Accountant Admin Employee Manager",3476,roles
POST,/followups/:id/reassign,crm,create,"Accountant Admin Employee Manager",3488,roles
POST,/followups/:id/assignees,crm,create,"Accountant Admin Employee Manager",3503,roles
DELETE,/followups/:id/assignees/:userId,crm,delete,"Accountant Admin Employee Manager",3519,roles
